chapter,question_number,Question,Answer,question_length,answer_length
3,3.01," A tensile test uses a test specimen that has a gage length of 50 mm and an area = 200 mm2. During the test the specimen yields under a load of 98,000 N. The corresponding gage length = 50.23 mm. 
This is the 0.2 percent yield point. The maximum load of 168,000 N is reached at a gage length = 
64.2 mm. D. Determine (a) yield strength, (b) modulus of elasticity, and (c) tensile strength. ","Solution: (a) Y = 98,000/200 = 490 MPa. (b) s = E e Subtracting the 0.2% offset, e = (50.23 -50.0)/50.0 -0.002 = 0.0026 E = s/e = 490/0.0026 = 188.5 x 103 MPa.  (c) TS = 168,000/200 = 840 MPa.  ",266,279
3,3.02,"A test specimen in a tensile test has a gage length of 2.0 in and an area = 0.5 in2. During the test the specimen yields under a load of 32,000 lb. The corresponding gage length = 2.0083 in. This is the 0.2 percent yield point. The maximum load of 60,000 lb is reached at a gage length = 2.60 in. Determine (a) yield strength, (b) modulus of elasticity, and (c) tensile strength. (d) If fracture occurs at a gage length of 2.92 in, determine the percent elongation. (e) If the specimen necked to an area = 0.25 in2, determine the percent reduction in area.","Solution: (a) Y = 32,000/0.5 = 64,000 lb/in2 (b) s = E e Subtracting the 0.2% offset, e = (2.0083 -2.0)/2.0 -0.002 = 0.00215 E = s/e = 64,000/0.00215 = 29.77 x 106 lb/in2  (c) TS = 60,000/0.5 = 120,000 lb/in2  (d) EL = (2.92 -2.0)/2.0 = 0.92/2.0 = 0.46 = 46%  (e) AR = (0.5 -0.25)/0.5 = 0.50 = 50%",561,297
3,3.03,"During a tensile test in which the starting gage length = 125.0 mm and the cross-sectional area = 62.5 mm2, the following force and gage length data are collected (1) 17,793 N at 125.23 mm, (2) 23,042 N at 131.25 mm, (3) 27,579 N at 140.05 mm, (4) 28, 913 N at 147.01 mm, (5) 27,578 N at 153.00 mm, and (6) 20,462 N at 160.10 mm. The maximum load is 28,913 N and the final data point occurred immediately prior to failure, . (a) Plot the engineering stress strain curve. Determine (b) yield strength, (c) modulus of elasticity, and (d) tensile strength.","Solution: (b) From the plot, Y = 310.27 MPa.
(c) First data point is prior to yielding.
Strain e = (125.23 - 125)/125 = 0.00184, E = 310.27/0.00184 = 168,625 MPa.
(d) From the plot, TS = 462.6 MPa. Also, TS = 28,913/62.5 = 462.6 MPa.",184,457
3,3.08,A tensile test for a certain metal provides flow curve parameters: strain-hardening exponent is 0.3 and strength coefficient is 600 MPa. Determine (a) the flow stress at a true strain = 1.0 and (b) true strain at a flow stress = 600 MPa.,Solution: (a) Yf = 600(1.0)^.3 = 600 MPa (b) H = (600/600)^(1/.3) = (1.0)^3.33 = 1.00,242,80
3,3.09,"The flow curve for a certain metal has a strain-hardening exponent of 0.22 and strength coefficient of 54,000 lb/in2. Determine (a) the flow stress at a true strain = 0.45 and (b) the true strain at a flow stress = 40,000 lb/in2.","Solution: (a) Yf = 54,000(0.45)^.22 = 45,300 lb/in2 (b) H = (40,000/54,000)^(1/.22) = (0.7407)^4.545 = 0.256",234,103
3,3.12,"A tensile specimen is elongated to twice its original length. Determine the engineering strain and true strain for this test. If the metal had been strained in compression, determine the final compressed length of the specimen such that (a) the engineering strain is equal to the same value as in tension (it will be negative value because of compression), and (b) the true strain would be equal to the same value as in tension (again, it will be negative value because of compression). Note that the answer to part (a) is an impossible result. True strain is therefore a better measure of strain during plastic deformation.","Solution: Engineering strain e = (2.0 -1.0)/1.0 = 1.0 True strain H = ln(2.0/1.0) = ln(2.0) = 0.693 (a) To be compressed to the same engineering strain (e = -1.0) the final height of the compression specimen would have to be zero, which is impossible.  (b) To be compressed to the same true strain value (e = -0.693) the final height of the compression specimen can be determined as follows: H = -.693 = ln(Lf/Lo) Lf/Lo = exp.(-0.693) = 0.500 Therefore, Lf = 0.5 Lo",629,465
3,3.13,"Derive an expression for true strain as a function of D and Do for a tensile test specimen of round cross section, where D = the instantaneous diameter of the specimen and Do is its original diameter.","Solution: Starting with the definition of true strain as H = ln(L/Lo) and assuming constant volume, we have V = AoLo = AL Therefore, L/Lo = Ao/A       A =pi D^2 and Ao =pi Do^2 and A0=piD^2        Ao/A = piDo^2/piD^2 = (Do/D)2 H = ln(Do/D)2 = 2ln(Do/D)",205,217
3,3.14,"Show that true strain H = ln(1 + e), where e = engineering strain.","Solution: Starting definitions: (1) H = ln(L/Lo) and (2) e = (L -Lo)/Lo Consider definition (2): e = L/Lo -Lo/Lo = L/Lo -1 Rearranging, 1 + e = L/Lo Substituting this into definition (1), H = ln(1 + e)",69,201
3,3.16,A copper wire of diameter 0.80 mm fails at an engineering stress = 248.2 MPa. Its ductility is measured as 75% reduction of area. Determine the true stress and true strain at failure.,"Solution: Area reduction AR = (Ao -Af)/Ao = 0.75 Ao -Af = 0.75 Ao    Ao -0.75Ao = 0.25 Ao = Af      If engineering stress = 248.2 MPa, then true stress V = 248.2/0.25 = 992.8 MPa True strain H = ln(Lf/Lo) = ln(Ao/Af) = ln(4) = 1.386.  However, it should be noted that these values are associated with the necked portion of the test specimen.",188,333
3,3.17,"A steel tensile specimen with starting gage length = 2.0 in and cross-sectional area = 0.5 in2 reaches a maximum load of 37,000 lb. Its elongation at this point is 24%. Determine the true stress and true strain at this maximum load.","Solution: Elongation = (L -Lo)/Lo = 0.24 L -Lo = 0.24 Lo L = 1.24 Lo A = Ao/1.24 = 0.8065 Ao True stress V = 37,000/0.8065(0.5) = 91,754 lb/in2 True strain H = ln(1.24) = 0.215",237,188
